d_AB	s_AB	dis_1	dis_2
2.08943089431	0.258785733019	digestive system neoplasms	parkinsonian disorders
1.99166666667	0.225836320191	digestive system neoplasms	cholestasis
1.73885350318	0.171229175228	digestive system neoplasms	leukemia, lymphoid
1.66666666667	0.065188172043	digestive system neoplasms	adnexal diseases
2.07299270073	0.541589963682	digestive system neoplasms	lipid metabolism, inborn errors
2.30476190476	0.474116743472	digestive system neoplasms	behcet syndrome
1.68148148148	0.100836320191	digestive system neoplasms	leukemia, myeloid, acute
2.17094017094	0.486128342983	digestive system neoplasms	collagen diseases
1.63803680982	0.0192964104304	digestive system neoplasms	liver diseases
2.44339622642	0.465315167689	digestive system neoplasms	hyperthyroidism
2.57142857143	1.27148516452	digestive system neoplasms	peroxisomal disorders
1.69078947368	0.10449459488	digestive system neoplasms	gonadal disorders
1.0414507772	-0.530861050755	digestive system neoplasms	colonic diseases
2.03472222222	0.405057453089	digestive system neoplasms	hereditary sensory and motor neuropathy
1.87931034483	0.187554072426	digestive system neoplasms	diabetes mellitus, type 1
2.10362694301	0.616315115048	digestive system neoplasms	brain diseases, metabolic, inborn
2.22727272727	0.391725605198	digestive system neoplasms	skin diseases, vascular
1.68907563025	0.24333038193	digestive system neoplasms	skin and connective tissue diseases
1.80769230769	0.0603804797353	digestive system neoplasms	lung diseases, obstructive
2.16981132075	0.23019180049	digestive system neoplasms	death, sudden, cardiac
1.63793103448	-0.000685141300317	digestive system neoplasms	neoplasms, neuroepithelial
1.88888888889	0.0463389656938	digestive system neoplasms	arterial occlusive diseases
1.06501547988	-0.473244623943	digestive system neoplasms	gastrointestinal diseases
1.98230088496	0.659989056999	digestive system neoplasms	anemia, aplastic
1.94262295082	0.384966295276	digestive system neoplasms	chromosome disorders
2.2	0.384506353861	digestive system neoplasms	nephritis
2.08333333333	0.728178368121	digestive system neoplasms	amino acid metabolism, inborn errors
1.86206896552	0.136496267995	digestive system neoplasms	lymphoma
2.01724137931	0.204712160049	digestive system neoplasms	liver cirrhosis
1.83474576271	0.258762606084	digestive system neoplasms	kidney diseases
1.69111969112	0.118506658343	digestive system neoplasms	heart diseases
2.44339622642	0.465315167689	digestive system neoplasms	exophthalmos
1.76875	0.0289008586102	digestive system neoplasms	genital neoplasms, male
0.738805970149	-0.752408296832	digestive system neoplasms	intestinal neoplasms
2.39622641509	0.0719915102143	digestive system neoplasms	urological manifestations
2.30476190476	0.474116743472	digestive system neoplasms	panuveitis
2.00884955752	0.536537729565	digestive system neoplasms	gram-positive bacterial infections
